City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Decription
57,57,Bluff,NZ,2022-03-12 17:34:59,-46.6,168.3333,50.81,88,20,6.78,few clouds
58,58,Saint-Philippe,RE,2022-03-12 17:35:00,-21.3585,55.7679,78.39,88,71,14.38,moderate rain
59,59,Kaeo,NZ,2022-03-12 17:35:00,-35.1,173.7833,66.33,92,100,2.1,overcast clouds
60,60,Lixourion,GR,2022-03-12 17:35:00,38.2019,20.4314,46.4,76,40,0.0,scattered clouds
61,61,Port Elizabeth,ZA,2022-03-12 17:35:01,-33.918,25.5701,85.1,73,0,4.61,clear sky
62,62,Benguela,AO,2022-03-12 17:35:01,-12.5763,13.4055,78.67,81,100,5.75,overcast clouds
63,63,Nuuk,GL,2022-03-12 17:35:01,64.1835,-51.7216,11.01,72,75,6.91,light shower snow
64,64,Hermanus,ZA,2022-03-12 17:35:02,-34.4187,19.2345,67.8,87,6,17.52,clear sky
65,65,Phu Ly,VN,2022-03-12 17:35:02,20.5411,105.9139,68.95,95,53,3.8,broken clouds
66,66,Dzhalil,RU,2022-03-12 17:35:02,55.0239,52.7358,-8.1,100,36,1.1,scattered clouds
67,67,Severo-Kurilsk,RU,2022-03-12 17:35:03,50.6789,156.125,30.4,89,96,8.41,overcast clouds
68,68,Ilulissat,GL,2022-03-12 17:35:03,69.2167,-51.1,5.02,66,75,4.61,broken clouds
69,69,Debre Tabor,ET,2022-03-12 17:35:03,11.85,38.0167,55.49,70,98,6.58,overcast clouds
70,70,Barrow,US,2022-03-12 17:35:04,71.2906,-156.7887,-18.38,69,0,6.91,clear sky
71,71,Pergamino,AR,2022-03-12 17:35:04,-33.89,-60.5736,75.18,42,0,7.16,clear sky
72,72,Bambous Virieux,MU,2022-03-12 17:35:04,-20.3428,57.7575,79.21,94,40,8.05,light rain
73,73,Nouadhibou,MR,2022-03-12 17:35:05,20.931,-17.0347,73.38,60,0,17.27,clear sky
74,74,Georgetown,MY,2022-03-12 17:35:05,5.4112,100.3354,82.35,83,20,0.0,few clouds
75,75,Mayo,US,2022-03-12 17:35:05,38.8876,-76.5119,34.99,90,100,21.99,light rain
76,76,Dikson,RU,2022-03-12 17:35:06,73.5069,80.5464,-10.53,92,100,20.69,overcast clouds
77,77,Longyearbyen,SJ,2022-03-12 17:35:06,78.2186,15.6401,17.44,57,75,4.61,broken clouds
78,78,Darab,IR,2022-03-12 17:35:06,28.7519,54.5444,68.11,29,8,2.98,clear sky
79,79,Tura,IN,2022-03-12 17:35:07,25.5198,90.2201,70.95,24,30,2.39,scattered clouds
80,80,Cape Town,ZA,2022-03-12 17:31:09,-33.9258,18.4232,72.09,73,75,10.36,broken clouds
81,81,Gemena,CD,2022-03-12 17:35:07,3.25,19.7667,71.15,91,99,2.21,light rain
82,82,Kapaa,US,2022-03-12 17:35:07,22.0752,-159.319,73.72,78,0,12.66,clear sky
83,83,San Patricio,US,2022-03-12 17:35:08,28.017,-97.5169,51.69,28,18,10.36,few clouds
84,84,Ixtapa,MX,2022-03-12 17:30:58,20.7,-105.2,72.63,56,0,0.0,clear sky
85,85,Torbay,CA,2022-03-12 17:35:08,47.6666,-52.7314,40.28,71,75,20.71,broken clouds
86,86,Chokurdakh,RU,2022-03-12 17:30:14,70.6333,147.9167,-28.97,100,40,3.98,scattered clouds
87,87,Lebu,CL,2022-03-12 17:35:09,-37.6167,-73.65,64.09,71,5,18.05,clear sky
88,88,Yellowknife,CA,2022-03-12 17:30:52,62.456,-114.3525,3.42,84,75,8.05,light snow
89,89,Anchorage,US,2022-03-12 17:33:04,61.2181,-149.9003,33.31,95,100,6.91,mist
90,90,Itarema,BR,2022-03-12 17:35:09,-2.9248,-39.9167,82.81,66,99,5.44,overcast clouds
91,91,Butaritari,KI,2022-03-12 17:35:10,3.0707,172.7902,81.25,76,16,20.65,few clouds
92,92,Jonesboro,US,2022-03-12 17:36:10,35.8423,-90.7043,32.04,35,0,4.61,clear sky
93,93,Hilo,US,2022-03-12 17:36:10,19.7297,-155.09,73.62,89,75,5.75,broken clouds
94,94,Nueva Guinea,NI,2022-03-12 17:36:11,11.6876,-84.4562,92.16,35,42,8.34,scattered clouds
95,95,Kamenka,RU,2022-03-12 17:36:11,51.3223,42.7678,2.3,98,100,3.85,overcast clouds
96,96,Pangnirtung,CA,2022-03-12 17:36:12,66.1451,-65.7125,-22.0,69,20,3.44,few clouds
97,97,Kangaatsiaq,GL,2022-03-12 17:36:12,68.3065,-53.4641,-1.89,86,100,7.49,overcast clouds
98,98,Peniche,PT,2022-03-12 17:36:12,39.3558,-9.3811,58.28,94,100,16.58,light rain
99,99,Ternate,ID,2022-03-12 17:36:13,0.8,127.4,81.01,79,99,3.18,overcast clouds
100,100,Gravdal,NO,2022-03-12 17:36:13,68.1214,13.5031,39.07,76,56,8.25,broken clouds
101,101,Dingle,PH,2022-03-12 17:36:13,10.9995,122.6711,76.37,90,71,4.52,broken clouds
102,102,Nikolskoye,RU,2022-03-12 17:36:14,59.7035,30.7861,34.72,95,97,3.13,overcast clouds
103,103,Kudahuvadhoo,MV,2022-03-12 17:36:14,2.6708,72.8944,82.67,69,1,9.48,clear sky
104,104,Iserlohn,DE,2022-03-12 17:36:14,51.3667,7.7,52.32,56,20,6.91,few clouds
105,105,Marzuq,YE,2022-03-12 17:36:15,14.4,46.4667,65.01,51,13,7.47,few clouds
106,106,Burriana,ES,2022-03-12 17:36:15,39.889,-0.085,67.05,61,19,6.04,few clouds
107,107,Hasaki,JP,2022-03-12 17:36:15,35.7333,140.8333,48.6,79,81,14.23,broken clouds
108,108,Alagir,RU,2022-03-12 17:36:16,43.0422,44.2222,27.14,82,100,3.89,overcast clouds
109,109,Arraial Do Cabo,BR,2022-03-12 17:36:16,-22.9661,-42.0278,85.96,74,20,13.8,few clouds
110,110,Letka,RU,2022-03-12 17:36:16,59.6011,49.4232,18.45,97,96,5.82,overcast clouds
111,111,Ancud,CL,2022-03-12 17:36:17,-41.8697,-73.8203,71.22,67,9,7.94,clear sky
112,112,Sovetskiy,RU,2022-03-12 17:36:17,61.3614,63.5842,11.21,93,100,9.71,overcast clouds
113,113,Provideniya,RU,2022-03-12 17:36:17,64.3833,-173.3,13.01,66,0,10.74,clear sky
114,114,Darlawn,IN,2022-03-12 17:36:18,24.0167,92.9,59.56,43,17,3.29,few clouds
115,115,Bend,US,2022-03-12 17:36:18,44.0582,-121.3153,54.99,32,0,14.97,clear sky
116,116,Port Lincoln,AU,2022-03-12 17:36:19,-34.7333,135.8667,67.95,71,73,11.3,broken clouds
117,117,San Quintin,MX,2022-03-12 17:36:19,30.4833,-115.95,66.34,25,100,3.98,overcast clouds
118,118,Polson,US,2022-03-12 17:36:19,47.6936,-114.1632,36.48,59,100,7.07,overcast clouds
119,119,Khatanga,RU,2022-03-12 17:36:20,71.9667,102.5,-23.51,100,98,6.53,overcast clouds
120,120,Hobart,AU,2022-03-12 17:36:04,-42.8794,147.3294,54.05,93,6,8.05,clear sky
121,121,Manaus,BR,2022-03-12 17:35:49,-3.1019,-60.025,90.1,66,40,5.75,scattered clouds
122,122,Cabo San Lucas,MX,2022-03-12 17:36:20,22.8909,-109.9124,75.61,69,0,4.0,clear sky
123,123,Tromso,NO,2022-03-12 17:36:20,69.6496,18.957,37.42,81,0,2.3,clear sky
124,124,Plettenberg Bay,ZA,2022-03-12 17:36:21,-34.0527,23.3716,75.33,69,28,10.2,scattered clouds
125,125,Orissaare,EE,2022-03-12 17:36:21,58.5592,23.0826,36.01,79,8,4.52,clear sky
126,126,Awjilah,LY,2022-03-12 17:36:21,29.1081,21.2869,59.34,39,0,6.44,clear sky
127,127,Sonoita,MX,2022-03-12 17:36:22,31.85,-112.8333,68.04,10,41,9.82,scattered clouds
128,128,Touros,BR,2022-03-12 17:32:37,-5.1989,-35.4608,84.94,63,100,11.05,overcast clouds
129,129,Puerto El Triunfo,SV,2022-03-12 17:36:22,13.2833,-88.55,90.46,59,22,12.66,few clouds
130,130,Warmbad,,2022-03-12 17:36:23,-28.45,18.7333,75.0,67,55,14.81,broken clouds
131,131,Gorontalo,ID,2022-03-12 17:36:23,0.5412,123.0595,76.95,96,100,3.2,overcast clouds
132,132,Petropavlovsk-Kamchatskiy,RU,2022-03-12 17:36:23,53.0452,158.6483,27.19,74,75,2.24,broken clouds
133,133,Castro,BR,2022-03-12 17:36:24,-24.7911,-50.0119,67.57,94,99,7.94,overcast clouds
134,134,Roebourne,AU,2022-03-12 17:36:24,-20.7833,117.1333,87.58,49,3,8.48,clear sky
135,135,Whitehorse,CA,2022-03-12 17:35:31,60.7161,-135.0538,19.81,84,100,5.99,light snow
136,136,Rocha,UY,2022-03-12 17:32:26,-34.4833,-54.3333,71.67,44,2,10.71,clear sky
137,137,Belmonte,BR,2022-03-12 17:37:24,-15.8631,-38.8828,83.89,65,2,8.77,clear sky
138,138,Tessalit,ML,2022-03-12 17:37:25,20.1986,1.0114,83.34,8,0,9.42,clear sky
139,139,Hervey Bay,AU,2022-03-12 17:37:25,-25.2986,152.8535,73.2,73,7,13.82,clear sky
140,140,San Diego De La Union,MX,2022-03-12 17:37:26,21.4667,-100.8667,54.14,50,59,12.41,broken clouds
141,141,Tateyama,JP,2022-03-12 17:37:26,34.9833,139.8667,53.1,77,50,11.61,scattered clouds
142,142,Santiago,CL,2022-03-12 17:37:26,-33.4569,-70.6483,85.28,30,0,9.22,clear sky
143,143,Poum,NC,2022-03-12 17:37:27,-20.2333,164.0167,80.55,78,4,9.44,clear sky
144,144,Hof,DE,2022-03-12 17:37:27,50.3167,11.9167,42.03,26,0,6.91,clear sky
145,145,Komsomolskiy,UZ,2022-03-12 17:37:27,40.4272,71.7189,52.52,93,75,2.3,mist
146,146,Clyde River,CA,2022-03-12 17:37:28,70.4692,-68.5914,-19.97,76,100,4.61,overcast clouds
147,147,Meadow Lake,US,2022-03-12 17:37:28,34.8014,-106.5436,49.73,23,0,7.54,clear sky
148,148,Nandu,CN,2022-03-12 17:37:28,22.8525,110.8233,69.49,75,28,3.24,scattered clouds
149,149,Saldanha,ZA,2022-03-12 17:37:29,-33.0117,17.9442,69.85,90,40,9.04,scattered clouds
150,150,Folldal,NO,2022-03-12 17:37:29,62.1325,9.9968,16.54,87,2,8.77,clear sky
151,151,Meulaboh,ID,2022-03-12 17:37:29,4.1363,96.1285,78.3,87,94,3.13,overcast clouds
